Year,Quarter,LGA (Local Government Areas),Dwelling Types,Bedroom Numbers,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
2019,2,Bellingen,House,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Bellingen,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2019,2,Bellingen,House,Not Specified,-,-,-,-,s,-,-,-,-
2019,2,Bellingen,House,2 Bedrooms,265,305,358,s,99.00,-14.08%,-8.96%,-12.50%,75.00%
2019,2,Bellingen,House,3 Bedrooms,351,385,440,38.00,327.00,0.00%,1.32%,8.57%,22.58%
2019,2,Bellingen,House,4 or more Bedrooms,410,463,498,s,141.00,6.94%,2.78%,85.71%,44.44%
2019,2,Bellingen,Other,Total,-,-,-,-,69.00,-,-,-,-
2019,2,Bellingen,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Bellingen,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2019,2,Bellingen,Other,Not Specified,-,-,-,-,34.00,-,-,-,-
2019,2,Bellingen,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
2019,2,Bellingen,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Bellingen,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Bellingen,Townhouse,Total,-,-,-,-,s,-,-,-,-
2019,2,Bellingen,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Bellingen,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2019,2,Bellingen,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2019,2,Bellingen,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
2019,2,Bellingen,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Bellingen,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Bellingen,Flat/Unit,Total,213,235,276,s,154.00,-9.62%,-6.00%,-28.00%,-14.29%
2019,2,Bellingen,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Bellingen,Flat/Unit,1 Bedroom,-,-,-,-,45.00,-,-,-,-
2019,2,Bellingen,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
2019,2,Bellingen,Flat/Unit,2 Bedrooms,-,-,-,-,84.00,-,-,-,-
2019,2,Bellingen,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
2019,2,Bellingen,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Berrigan,Total,Total,185,240,281,64.00,536.00,-6.80%,-4.00%,-11.11%,6.67%
2019,2,Berrigan,Total,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Berrigan,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
2019,2,Berrigan,Total,Not Specified,-,-,-,-,s,-,-,-,-
2019,2,Berrigan,Total,2 Bedrooms,131,165,210,s,214.00,-13.16%,-10.81%,41.18%,26.32%
2019,2,Berrigan,Total,3 Bedrooms,226,250,284,s,217.00,-10.71%,-10.71%,-25.71%,-16.13%
2019,2,Berrigan,Total,4 or more Bedrooms,260,340,360,s,54.00,7.94%,7.94%,-21.43%,57.14%
2019,2,Berrigan,House,Total,220,250,300,41.00,309.00,-12.28%,-11.50%,-19.61%,13.89%
2019,2,Berrigan,House,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Berrigan,House,1 Bedroom,-,-,-,-,-,-,-,-,-
2019,2,Berrigan,House,Not Specified,-,-,-,-,-,-,-,-,-
2019,2,Berrigan,House,2 Bedrooms,-,-,-,-,49.00,-,-,-,-
2019,2,Berrigan,House,3 Bedrooms,229,253,286,s,198.00,-9.82%,-10.62%,-29.41%,-14.29%
2019,2,Berrigan,House,4 or more Bedrooms,260,340,360,s,51.00,7.94%,7.94%,-21.43%,57.14%
2019,2,Berrigan,Other,Total,-,-,-,-,s,-,-,-,-
2019,2,Berrigan,Other,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Berrigan,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
2019,2,Berrigan,Other,Not Specified,-,-,-,-,-,-,-,-,-
2019,2,Berrigan,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Berrigan,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Berrigan,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Berrigan,Townhouse,Total,-,-,-,-,-,-,-,-,-
2019,2,Berrigan,Townhouse,Bedsitter,-,-,-,-,-,-,-,-,-
2019,2,Berrigan,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
2019,2,Berrigan,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
2019,2,Berrigan,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Berrigan,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Berrigan,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
2019,2,Berrigan,Flat/Unit,Total,120,150,210,s,198.00,-22.08%,-22.08%,16.67%,-4.55%
